,out_degree_aligned
MEOX2,15
HOXA5,10
ZNF219,8
HOXB3,8
DLX2,7
NR2E1,6
MAZ,6
DLX1,6
NR2F6,6
HOXD11,6
HOXA2,6
HOXC10,5
FOXM1,5
ATF3,5
MEIS1,5
TEAD4,5
TRAF4,5
HMGA1,5
LHX6,4
ATF5,4
MSC,4
HOXC11,4
ETV4,4
FOXC2,4
SIRT6,3
HOXA4,3
ESRRA,3
MEF2D,3
TNFRSF4,3
CREB3L1,3
MESP1,3
ESRRG,3
BHLHE22,3
NFE2,2
HOXD12,2
ZBTB7A,2
E2F1,2
MNT,2
ETV5,2
FOXL1,2
FOXF2,2
SOX18,2
TEAD3,1
NEUROD2,1
CREB3,1
SOX17,1
LHX2,1
BCL6B,1
HNF1A,1
TFCP2L1,1
OTX2,1
VAX1,0
POU1F1,0
FOXG1,0
KLF16,0
DRGX,0
FOXD2,0
PITX2,0
TP73,0
DMRT1,0
NEUROG2,0
DBX2,0
PAX7,0
DLX5,0
