,Alt_ID,in_degree,out_degree,out/in
MESP1,MESP1,3.0,2.0,0.6666666666666666
SMAD3,SMAD3,8.0,5.0,0.625
IRF2,IRF2,5.0,3.0,0.6
ZNF740,ZNF740,5.0,3.0,0.6
STAT3,STAT3,5.0,3.0,0.6
NR1H3,NR1H3,5.0,3.0,0.6
ZNF281,ZNF281,7.0,4.0,0.5714285714285714
PPARG,PPARG,2.0,1.0,0.5
HSF1,HSF1,6.0,3.0,0.5
ETS1,ETS1,6.0,3.0,0.5
OLIG3,OLIG3,2.0,1.0,0.5
HLTF,HLTF,4.0,2.0,0.5
TTF1,TTF1,4.0,2.0,0.5
SMAD1,SMAD1,8.0,4.0,0.5
SP4,SP4,6.0,3.0,0.5
SMAD4,SMAD4,4.0,2.0,0.5
IRF9,IRF9,8.0,4.0,0.5
HOXD1,HOXD1,6.0,3.0,0.5
FOXD1,FOXD1,4.0,2.0,0.5
IRX3,IRX3,4.0,2.0,0.5
FOXJ3,FOXJ3,6.0,3.0,0.5
THRA,THRA,4.0,2.0,0.5
STAT5A,STAT5A,7.0,3.0,0.42857142857142855
ESR1,ESR1,7.0,3.0,0.42857142857142855
MAFB,MAFB,5.0,2.0,0.4
BCL6B,BCL6B,5.0,2.0,0.4
BPTF,BPTF,5.0,2.0,0.4
NFATC2,NFATC2,5.0,2.0,0.4
ZBTB16,ZBTB16,5.0,2.0,0.4
FOXO4,FOXO4,3.0,1.0,0.3333333333333333
PITX1,PITX1,3.0,1.0,0.3333333333333333
TNFRSF10A,TNFRSF10A,3.0,1.0,0.3333333333333333
SREBF2,SREBF2,9.0,3.0,0.3333333333333333
FOXP3,FOXP3,3.0,1.0,0.3333333333333333
ERG,ERG,6.0,2.0,0.3333333333333333
FOXA1,FOXA1,14.0,4.0,0.2857142857142857
IRF5,IRF5,7.0,2.0,0.2857142857142857
STAT6,STAT6,7.0,2.0,0.2857142857142857
POU3F3,POU3F3,7.0,2.0,0.2857142857142857
IKZF2,IKZF2,11.0,3.0,0.2727272727272727
TCF3,TCF3,8.0,2.0,0.25
MEF2A,MEF2A,4.0,1.0,0.25
PPARA,PPARA,4.0,1.0,0.25
CEBPA,CEBPA,5.0,1.0,0.2
E2F8,E2F8,5.0,1.0,0.2
POU5F1,POU5F1,11.0,2.0,0.18181818181818182
HIC1,HIC1,6.0,1.0,0.16666666666666666
RXRA,RXRA,40.0,3.0,0.075
DR1,DR1,15.0,1.0,0.06666666666666667
ZFP42,ZFP42,4.0,0.0,0.0
SOX3,SOX3,4.0,0.0,0.0
SH2D1A,SH2D1A,1.0,0.0,0.0
POU6F1,POU6F1,6.0,0.0,0.0
EOMES,EOMES,2.0,0.0,0.0
NR5A2,NR5A2,14.0,0.0,0.0
FEV,FEV,2.0,0.0,0.0
NKX2-3,NKX2-3,3.0,0.0,0.0
MECP2,MECP2,3.0,0.0,0.0
MSX1,MSX1,4.0,0.0,0.0
