,out_degree_aligned
NFE2L2,14
DLX1,13
SF1,12
HOXC9,12
SNAI2,12
GLI1,12
HIVEP2,11
MGA,11
BACH2,11
ETV1,11
NR2F2,10
BCL6,10
REST,10
GATA4,10
DLX5,9
ZNF652,9
FOXD3,9
FOXO1,9
RORA,9
NFYA,8
OSR2,8
SP1,8
ETV3,8
CUX1,8
OTX1,8
KLF12,8
TGIF2,8
ELF4,7
BBX,7
FOXK1,7
ZBTB7B,7
RFX1,7
KLF16,7
GLI2,7
NEUROD2,6
E2F3,6
ETV4,6
SOX5,6
HOXA9,6
RXRA,6
RREB1,6
BARX1,6
ZBED6,6
RUNX1,6
TFCP2,5
ISL2,5
SREBF2,5
CEBPG,5
FOXJ3,5
CDC5L,5
EGR2,5
HOXC8,5
MAFG,5
MYC,5
FOXF1,5
SOX21,5
MZF1,5
KLF11,5
ZNF282,5
GSC,5
STAT5B,5
TCF3,5
ESRRG,4
ARID3A,4
ZNF589,4
GMEB2,4
PPARA,4
ZBTB14,4
NR2F1,4
HOXB13,4
ZNF148,4
E2F8,4
LBX2,4
SIX3,4
SMAD3,3
ALX3,3
KLF4,3
SP4,3
PPARG,3
TTF1,3
DEAF1,3
IKZF3,3
BHLHE22,3
CREB5,3
ZBTB49,3
FOXJ2,3
NFIB,3
TCF4,3
RUNX3,3
ETV5,3
HOXD13,3
EN1,3
SRF,2
HLF,2
HMX1,2
NR3C2,2
VAX2,2
LHX4,2
ZIC2,2
DMRT3,2
HOXD8,2
ZNF217,2
GRHL1,2
BPTF,2
ZBTB3,2
NKX6-1,2
MNX1,1
ESR2,1
EMX1,1
NKX2-2,1
EN2,1
POU2AF1,1
LHX2,1
NFKB2,1
LMX1B,1
VAX1,1
DLX4,1
PROX1,1
PDX1,1
TFE3,1
CNOT3,1
MLXIPL,0
NFIX,0
PAX1,0
PLAG1,0
C10orf90,0
ZNF263,0
SOX13,0
