,out_degree_aligned
REL,9
TEAD1,9
HBP1,9
RORA,9
NFKB1,8
STAT1,7
ZFX,6
PARP1,6
ZBTB4,5
SOX21,5
MGA,4
ATF3,4
HOXC4,4
HENMT1,4
PRDM1,4
EP300,4
FOXO1,4
MEOX1,4
NR3C1,3
EHF,3
PBX1,3
FOXF1,3
BCL6B,2
SOX7,2
DLX3,2
ELF1,2
BPTF,2
SMAD1,2
CDC5L,2
LHX9,2
TBX18,2
NR5A2,2
MEF2A,2
IKZF3,2
BBX,2
SOX17,2
GMEB1,2
VBP1,1
TAL1,1
CUX1,1
TERF1,1
POU2F3,1
MYCN,1
VSX1,1
BATF3,1
NFATC2,1
SATB1,1
HOXA1,0
NKX6-1,0
TFEC,0
ZBTB33,0
ZNF423,0
