,out_degree_aligned
CREB1,12
ZEB1,11
PRDM4,11
GMEB2,10
SMAD3,10
SP1,10
EP300,9
GMEB1,9
AHR,9
BRCA1,9
BCL6,9
ATF7,8
ATF1,8
ZNF143,8
ZFX,8
FOXJ3,8
ZBED6,8
TCF3,7
PATZ1,7
GATA4,7
CNOT3,7
HNF4A,7
SREBF2,6
ETV6,6
ETV3,6
ELK4,6
POLR3A,6
RREB1,6
HNF1A,6
TBX4,6
FOXA2,6
MYB,6
MZF1,5
FOXO3,5
RFX3,5
ZKSCAN3,5
RFX1,5
ZBTB18,5
MAZ,5
E2F3,5
POU2F1,5
ZBTB7B,5
CLOCK,5
TEAD3,5
CEBPA,5
SOX4,5
BPTF,5
KLF7,5
GLI3,4
NFYA,4
NR6A1,4
BBX,4
NR2C2,4
TCF7,4
EWSR1,4
SOX12,4
ZNF148,4
E2F4,4
HMBOX1,4
ERF,4
SP4,3
TBP,3
FOXA1,3
ZSCAN16,3
HMGA2,3
HINFP,3
TFE3,3
HLTF,3
SOX9,3
ELF1,3
TFCP2,3
CENPB,3
E2F6,3
MNT,3
PPARG,3
GTF2IRD1,3
MECP2,3
ETV1,3
ETV5,3
PEG10,3
E2F1,3
E2F7,3
ALX3,3
ETV4,2
ZBTB7A,2
HOXD9,2
ZBTB3,2
SOX5,2
IRF2,2
ELF2,2
HNF1B,2
BHLHE41,2
ATF4,2
PAX3,2
IRF3,2
STAT1,2
MAFG,2
HBP1,2
TCF7L2,2
LHX9,2
DLX6,2
RXRA,2
OSR2,2
NFYC,2
SOX13,2
ELF4,2
HOXA7,1
THRB,1
GABPA,1
ZNF263,1
NHLH1,1
CEBPZ,1
PAX8,1
MTF1,1
SP8,1
ELK1,1
GLIS2,1
NRF1,1
SMAD4,1
NR5A2,1
MEIS1,1
ZNF691,1
FOXJ2,1
PAX6,1
YY1,1
TFAP2A,1
TP73,1
POU2F3,0
STAT5B,0
MYCN,0
ONECUT2,0
RARG,0
ZNF35,0
ZSCAN26,0
TEF,0
SIX2,0
CUX2,0
