,out_degree_aligned
SNAI2,20
ELK3,13
ELK4,12
RARB,12
GTF2I,11
EHF,10
FOXO3,10
ZBTB7B,10
IRF2,9
REL,9
PRRX1,9
FOXJ3,9
RXRA,8
SP1,8
DR1,8
HES1,8
HOXD11,8
RFX7,8
ZNF143,8
NFKB1,8
ARID5B,7
RREB1,7
SMAD3,7
SP3,7
HOXA1,7
ZEB1,7
PRDM1,7
KLF7,7
KLF4,7
NFE2L2,6
RORA,6
DLX1,6
PAX9,6
ELF4,6
CTCF,6
SMAD1,6
BPTF,5
KLF11,5
NFYA,5
MSC,5
STAT1,5
SOX21,5
IKZF1,5
TEAD1,5
TP73,5
SHOX2,5
CUX1,4
HOXD8,4
GABPA,4
SREBF1,4
ZNF219,4
TCF21,4
TEAD3,4
POU2F1,4
NF1,4
EGR1,4
PRDM4,4
HLTF,4
SREBF2,4
RUNX1,4
IRF9,3
TCF4,3
FOXK1,3
HOXD9,3
HOXD10,3
FOXP3,3
RUNX2,3
MEF2D,3
SOX7,3
PPARA,3
GFI1,3
ETV3,3
FOXJ2,3
FOSL1,3
ELF1,3
PLAG1,3
GMEB1,3
NFIL3,3
PROX1,2
KLF13,2
BARX2,2
GATA3,2
NKX2-3,2
TEF,2
HLF,2
FOXF2,2
FOS,2
NR6A1,2
ZBTB4,2
TFE3,2
ETS1,2
ELF2,2
DLX5,2
GRHL1,2
TFEC,2
E2F2,2
HBP1,2
NFATC1,2
IRX5,1
BHLHE22,1
NFATC2,1
IKZF2,1
MTF1,1
HOXD13,1
FOXD3,1
TFAP2C,1
NKX3-2,1
MAFB,1
TBX21,1
EGR3,1
NFIX,1
EOMES,1
SP4,1
TBX1,1
ZSCAN26,0
ZNF350,0
IRX4,0
SPIB,0
GLI2,0
ALX3,0
GBX2,0
NKX2-8,0
