,Coefficient
HEY2,0.14505006827558
MGA,0.2652514177119617
MEOX2,0.13453597695378397
ETV5,-0.14574938873245827
TEAD4,-0.16875155797405855
RBPJ,-0.0880660018135894
HMGA1,-0.2289643779899527
