,out_degree_aligned
ERF,11
NR1H2,11
E2F1,10
MAZ,10
MYC,9
NR2F6,8
CNOT3,8
USF1,8
ZNF219,8
ESRRA,8
ZNF628,7
CEBPA,7
HNF1A,7
ZNF524,7
TCF3,7
TFAP4,6
MNT,6
DBP,6
BORCS8-MEF2B,6
HMGA1,5
SREBF1,5
ATF4,5
ZNF784,5
ZBTB7B,5
SREBF2,4
RXRA,4
HSF4,4
RFX1,4
EWSR1,4
TEAD4,3
HSF1,3
DEAF1,3
ZNF691,3
FOXD2,2
CDX2,2
NR4A1,2
MAFK,2
KLF4,2
CENPB,2
PEBP1,2
THRA,2
HOXB5,2
TRAF4,2
NFYC,2
BRF1,1
MLXIPL,1
E2F4,1
STAT6,1
VENTX,1
PITX1,1
IRF3,1
SIRT6,1
MLX,1
TRIM28,1
ETV2,1
RARG,0
BHLHA15,0
MESP1,0
FOXA3,0
EVX1,0
TNFRSF25,0
E4F1,0
