,out_degree_aligned
FOXC1,11
NR1H2,11
CEBPB,10
MYC,9
ERF,9
SOX11,9
SOX12,8
KLF16,8
E2F1,8
MYBL2,8
GTF2IRD1,8
DDIT3,7
OTX1,7
SF1,7
HMGA1,7
MAFK,7
DBP,7
TFEB,7
NKX1-2,7
ESRRA,7
ZNF524,7
GMEB2,6
DLX6,6
CNOT3,6
RFX1,6
FOSL1,6
SIRT6,5
IRF3,5
BATF3,5
NR2F6,5
MZF1,5
NKX2-5,5
CENPB,4
BORCS8-MEF2B,4
IRF9,4
NFKB2,4
TEAD4,4
MAZ,4
ZNF784,4
ZNF628,4
TRAF4,4
E2F8,4
HSF4,3
POU5F1,3
EWSR1,3
EN1,3
BRF1,3
SOX8,3
USF1,3
CEBPA,3
ISL2,3
TCF3,3
ONECUT2,3
TFAP2E,3
TEAD3,3
TFAP4,3
E4F1,2
ZIC4,2
ZIC1,2
GSC,2
SRF,2
RFC5,2
E2F4,2
ELF3,2
CREB3,2
CDX1,1
ZSCAN16,1
THRA,1
MLX,1
ETV2,1
ATF5,1
IRF7,1
TNFRSF4,1
TBX19,1
HOXC11,1
CEBPE,1
VAX1,1
HOXD13,1
ELK1,1
TFAP2C,1
TNFRSF25,1
FOXD1,0
KLF1,0
TBX1,0
NKX6-2,0
SOX15,0
NHLH1,0
IRX3,0
POU4F1,0
ZNF232,0
PDX1,0
NR2E1,0
