,out_degree_aligned
CREB1,21
ELK3,18
XBP1,17
NFAT5,17
KLF12,15
ZEB1,15
BHLHE40,14
GLI3,13
TBX5,12
NFIA,12
PBX1,11
FLI1,11
ARID5B,11
EBF1,11
HBP1,11
SP1,11
GTF2A1,10
POU2F1,10
ZFX,10
RREB1,10
FOXP1,10
GLI1,10
MYB,10
MEF2D,10
CLOCK,10
BACH1,10
EP300,9
SNAI2,9
PROX1,9
NF1,9
GTF2I,9
NR2F1,9
HIVEP2,9
TEAD1,8
PRRX1,8
EGR1,8
HOXA5,8
ZNF148,8
ZBTB14,8
RFX7,8
PURA,8
FOXO3,8
ZBED6,8
BDP1,8
MGA,7
EPAS1,7
REST,7
BBX,7
IKZF1,7
CREB3L2,7
RUNX1,7
ZNF143,7
ZNF281,7
ERG,7
NFYA,7
FOXO1,7
AHR,7
MEIS2,7
SP3,7
EHF,7
NR2F2,6
MEOX2,6
ELF1,6
TFEC,6
FOXJ3,6
RORA,6
RUNX2,6
BACH2,6
HOXA7,6
FOS,6
ETV1,6
ZNF423,6
NFKB1,6
ESR1,6
IRF2,5
HOXA3,5
BHLHE41,5
GFI1,5
TBX15,5
OSR1,5
ETV3,5
ZNF652,5
HOXB2,5
ZNF217,5
CTCF,5
HOXA4,5
IRF4,5
ATF2,5
TCF4,5
NFE2L2,5
PRDM1,5
REL,4
SP100,4
TCF7L2,4
BCL6B,4
MEF2A,4
TAL1,4
GLIS1,4
CDC5L,4
KLF11,4
HOXA6,4
SHOX2,4
PAX5,4
CREB5,4
NFATC2,4
HOXA2,4
ID4,4
PPARG,3
BRCA1,3
KLF7,3
HOXC4,3
STAT3,3
NFATC1,3
ETV5,3
HLTF,3
STAT4,3
TCF7,3
KLF13,3
HIF1A,3
RARB,3
SP4,3
ETS1,3
MEOX1,3
SMAD1,3
ELF4,3
IRF8,3
MAF,3
GLI2,3
POU2AF1,3
HOXB5,3
TFAP2B,3
GLIS2,3
PAX6,2
TP63,2
STAT1,2
HSF2,2
LEF1,2
NR3C2,2
GATA6,2
HOXB4,2
TBX18,2
MECOM,2
ESRRG,2
SOX4,2
TBX21,2
SOX17,2
GABPA,2
EGR3,2
DR1,2
KLF4,2
TNFRSF10A,2
NKX3-1,2
HOXA9,2
ZBTB6,2
NR4A1,2
FOXJ2,2
EMX2,2
FOXK1,2
SMAD4,2
ZNF75A,2
ALX4,2
POU2F2,1
POU2F3,1
HOXA1,1
FOXO4,1
GRHL1,1
ELF2,1
ZNF410,1
NFIX,1
RFX5,1
ZSCAN26,1
IKZF2,1
ZBTB3,1
SOX7,1
GABPB1,1
PAX9,1
NR4A2,1
STAT5B,1
NR3C1,1
HOXD8,1
HOXA10,1
TFCP2L1,1
TFCP2,1
EOMES,1
LMX1B,1
PLAGL1,1
SIX4,1
MAFB,0
SATB1,0
PITX2,0
DBX2,0
HOXC8,0
DMRT2,0
HLF,0
ZNF350,0
HOXB3,0
FOXF1,0
ZNF35,0
HDX,0
YY2,0
HOXB6,0
ZNF713,0
SMAD3,0
CPEB1,0
POU3F3,0
BHLHE22,0
IRX2,0
