,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1134,5,MAF,1134,-1.0,48.14127153419245,0.44987706948860073,5.613173275063293e-27,-16.362617180048247,47.202174864973,1.0,0.92,25,23
1127,5,MAF,1127,-1.0,48.14127153419245,-0.4361888249769526,2.75594644592751e-25,13.922402235279527,32.223413441095445,1.0,0.92,25,23
1136,5,MAF,1136,-1.0,48.14127153419245,-0.2084452123597246,1.8723751125237558e-06,5.800183988960396,7.778509475939651,1.0,0.92,25,23
1130,5,MAF,1130,-1.0,48.14127153419245,-0.44752781428468225,1.1089705623552316e-26,18.31498408274774,50.69017496499658,1.0,0.92,25,23
1138,5,MAF,1138,-1.0,48.14127153419245,-0.26729933518772947,7.379301507939903e-10,7.348313624104068,11.621560128307552,1.0,0.92,25,23
1139,5,MAF,1139,-1.0,48.14127153419245,-0.3070793791550767,1.0973590904879028e-12,14.47412192251595,35.77566759665787,1.0,0.92,25,23
1131,5,MAF,1131,-1.0,48.14127153419245,0.6395651337301486,1.812158497621922e-60,-16.94233401166377,47.308079454863304,1.0,0.92,25,23
1135,5,MAF,1135,-1.0,48.14127153419245,0.5354245106804512,1.8080742505548963e-39,-8.285976130836387,14.570080278084045,1.0,0.92,25,23
1123,5,MAF,1123,-1.0,48.14127153419245,0.5443933016402591,5.373871235484129e-41,-16.015283612644904,46.262151305752035,1.0,0.92,25,23
1122,5,MAF,1122,-1.0,48.14127153419245,0.4129722452530531,1.3739646944786684e-22,-18.767343650240566,57.16051230477393,1.0,0.92,25,23
1120,5,MAF,1120,-1.0,48.14127153419245,0.5254202270563771,8.077400598928452e-38,-16.16874544436695,46.87113189795115,1.0,0.92,25,23
1133,5,MAF,1133,-1.0,48.14127153419245,-0.46170216949321796,1.6801018989437363e-28,25.619951345948504,69.29655675483231,1.0,0.92,25,23
1126,5,MAF,1126,-1.0,48.14127153419245,0.4337626898773258,5.39587672499752e-25,-18.285605045996842,56.12786056005063,1.0,0.92,25,23
1119,5,MAF,1119,-1.0,48.14127153419245,0.4826037806793311,2.4095790549976154e-31,-17.392842578941643,52.827439476559434,1.0,0.92,25,23
1129,5,MAF,1129,-1.0,48.14127153419245,0.5367576257455748,1.0793127718995907e-39,-9.225722635907669,17.29846042944646,1.0,0.92,25,23
1137,5,MAF,1137,-1.0,48.14127153419245,0.1557350303465715,0.000394395167279944,-11.80457935674433,27.86860755598147,1.0,0.92,25,23
