,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
3278,12,PRRX1,3278,-1.0,2.2668255461358493,0.3532229276246688,2.946364026442082e-15,-23.965151231248104,4.85159068340883,0.6666666666666666,0.09090909090909091,22,3
3269,12,PRRX1,3269,-1.0,2.2668255461358493,0.3351084778997392,8.490594042021487e-14,-28.88603219311223,105.27724431496358,0.6666666666666666,0.09090909090909091,22,3
511,12,AR,511,-1.0,1.4568524659810327,0.15094257297824454,0.0010290227901494475,-18.68539560388289,9.956270757579862,0.5,0.041666666666666664,24,2
4043,12,RARA,4043,-1.0,2.435279638274428,0.2940829317104872,7.876693466985718e-11,-29.278879670615602,6.090691581531993,1.0,0.08333333333333333,24,2
4040,12,RARA,4040,-1.0,2.435279638274428,0.2509813043469467,3.4843064790966695e-08,-26.67706235400728,4.9226030737923265,1.0,0.08333333333333333,24,2
3506,12,HENMT1,3506,-1.0,2.6217653604204743,0.1466440665624311,0.001432839988360268,-18.81429069361594,3.2598668351938866,1.0,0.2,5,1
4367,12,TRIM28,4367,-1.0,2.1994949648443733,0.028827326785428944,0.5330039884993978,-8.286089432091392,2.039645242397821,1.0,0.125,8,1
6126,12,SOX8,6126,-1.0,3.1752152473303865,0.16474302831957574,0.0003350583728886297,-8.865314474598991,2.56309615557858,0.3333333333333333,0.041666666666666664,24,3
641,12,MAZ,641,-1.0,1.3338545707431728,0.40634469223587605,4.108208519358685e-20,-7.168905946366901,1.7849297402375293,0.5,0.04,25,2
4500,12,TFAP4,4500,-1.0,5.567823406497653,0.25840269929850485,1.3162971744975899e-08,-9.064204638342941,2.723794843469487,1.0,0.1111111111111111,9,1
4449,12,NFYC,4449,-1.0,3.0451561509424763,0.27858779785081333,7.96423729567498e-10,-6.949969738551583,1.4345601126654501,1.0,0.16666666666666666,6,1
2519,12,ZNF628,2519,-1.0,3.5193468083045447,0.4367699958766176,2.579802951804995e-23,-8.145563639099365,1.4689164866503504,1.0,0.5,2,1
766,12,ZNF524,766,-1.0,2.940079253931943,0.5032295591332634,1.536391667834189e-31,-19.19085138993918,3.831815680330235,1.0,0.25,4,1
5180,12,TEF,5180,-1.0,2.6309237440952593,0.48637714761911505,2.7902621111399243e-29,-34.716383246468325,9.816296525726273,1.0,0.05555555555555555,18,1
