,out_degree_aligned
GSC,7
ERF,6
HIC1,6
NFATC4,6
ZNF628,6
SOX12,6
TFAP4,6
RARA,6
SREBF1,5
RXRA,5
TEAD4,5
MNT,5
SIRT6,4
ZNF524,4
GLI1,4
FOSL1,4
GLIS2,4
RFX1,3
BRF1,3
SOX18,3
DBP,3
MESP1,3
OTX1,3
OSR2,3
TP63,2
FOXM1,2
ELF3,2
NFYC,2
GMEB2,2
DMBX1,2
MAZ,2
E4F1,2
TBX1,1
ESRRA,1
DLX3,1
HSF1,1
POU3F1,1
TRIM28,1
PHOX2B,1
KLF16,1
ATF4,1
CENPB,1
ZNF784,1
CREB3,1
GRHL1,1
HOXC5,1
PITX1,1
RAX,0
GBX2,0
MYBL2,0
PEBP1,0
GSC2,0
EN1,0
ATF5,0
FOXA1,0
DEAF1,0
BARX1,0
