,out_degree_aligned
FOXO3,14
ZBED6,13
ZFX,12
ETV1,11
ARID5B,11
ZNF652,11
HBP1,10
RFX7,10
ELK3,10
ZNF143,10
NFAT5,9
SP3,9
REL,9
E2F3,9
BCL6,9
CLOCK,9
IRF2,8
IKZF2,8
RFX3,8
FOXJ3,8
RBPJ,8
KLF12,8
SP100,8
GABPA,8
POU2F1,8
NFE2L2,8
MEF2A,7
NF1,7
TCF7L2,7
ELK4,7
BDP1,7
TGIF2,7
SP4,6
ATF2,6
GMEB1,6
ZNF8,6
SP1,6
FOXP1,6
HMBOX1,6
NFYA,6
NR2C2,6
TEAD1,6
NR3C1,6
MTERF1,6
SOX4,5
SOX5,5
DR1,5
MTF1,5
SMAD4,5
POU3F3,5
ZNF148,5
NFKB1,5
ZNF281,5
BRCA1,5
FLI1,5
MEIS1,5
IKZF3,5
HIVEP2,5
KLF15,4
GLIS3,4
ELF1,4
ZKSCAN3,4
PURA,4
KLF7,4
ETV3,4
GZF1,4
TFEC,4
MYBL1,3
ETS2,3
ARNT,3
PKNOX1,3
EP300,3
ETS1,3
ZBTB6,3
RFX5,3
HESX1,3
DDIT3,3
TBP,3
ZNF384,3
E2F8,3
XBP1,3
BPTF,3
ELF2,3
TNFRSF10A,3
PROX1,3
PLAGL1,3
GTF2A1,3
PRDM4,2
ZBTB33,2
ALX3,2
BACH2,2
NR3C2,2
RREB1,2
YY1,2
KLF11,2
MAFG,2
RORA,2
PAX3,2
SOX2,2
ZNF589,2
ETV6,2
CREB5,2
ZNF740,2
MECP2,2
PEG10,2
STAT5B,2
HSF2,2
POU3F2,1
CDC5L,1
CEBPG,1
E2F7,1
ZSCAN26,1
E2F6,1
ESR1,1
YY2,1
TBX19,1
RFC5,1
PLAG1,1
ONECUT1,1
ZNF713,0
LHX4,0
CPEB1,0
EOMES,0
HDX,0
ZBTB18,0
DMRTA1,0
SIX4,0
ERG,0
ZNF35,0
HINFP,0
HENMT1,0
AR,0
HOXD1,0
HIC2,0
TNFRSF25,0
SH2D1A,0
