,out_degree_aligned
ELK4,12
NR2F2,12
ZEB1,11
GLI3,10
NFATC4,10
GTF2I,10
TCF7L2,10
RARA,9
MEOX2,9
ARID5B,9
GLIS1,8
EBF1,8
FOXL1,8
DLX1,8
NFAT5,7
ZNF281,7
MSC,7
ATF7,7
KLF7,7
GTF2A1,7
FOXK1,7
CREB1,6
HOXA11,6
TEAD1,6
ETV3,6
IRF1,6
REST,6
BHLHE41,6
RFX2,6
AHR,6
ZBTB4,5
ELK3,5
MEF2D,5
STAT1,5
MEIS2,5
RUNX2,5
ETV1,5
ATF1,5
GLIS3,5
SF1,5
NFIL3,5
FOXO1,5
ETS1,5
NFE2L1,5
FOXC2,5
CUX1,5
ATF2,5
TFCP2,5
GATA6,4
BPTF,4
RFX7,4
BACH1,4
CREB3L1,4
BCL6B,4
IRX2,4
BDP1,4
ELF4,4
NFKB1,4
PKNOX2,4
LHX8,4
MYF6,4
HLX,3
PURA,3
BBX,3
YY1,3
ZSCAN26,3
SOX17,3
LEF1,3
LHX1,3
HIF1A,3
PRDM4,3
MAFA,3
MEIS3,3
HOXA1,2
CREB5,2
WT1,2
NKX3-1,2
PROX1,2
SP4,2
ZBTB6,2
MYBL2,2
PLAG1,2
MYOG,2
HOXC4,2
KLF14,2
TBX15,2
BHLHE40,2
ZBTB16,2
SOX9,2
EGR2,2
BACH2,2
ZNF148,2
GABPB1,2
MEOX1,1
SMAD1,1
FOXF2,1
HDX,1
FOXD2,1
NR5A2,1
LMO2,1
IRX4,1
ZNF410,1
TEAD3,1
TCF7L1,1
RELA,1
KLF13,1
CEBPZ,1
MSX2,1
SP100,1
SATB1,1
FOXP1,1
GSC,1
ZNF35,1
PITX3,1
LHX5,0
GZF1,0
PAX3,0
VENTX,0
NFIX,0
SOX7,0
HSF1,0
PAX7,0
FOXD1,0
ARID3A,0
LHX6,0
NKX3-2,0
PPARA,0
PKNOX1,0
