,Coefficient
ERG,0.0
NFKB1,0.0
NFE2,0.0
ZBTB4,0.0
PRRX1,0.0
THRA,0.0
HOXA1,0.0
ELF3,0.0
HMGA1,0.0
BARX1,0.0
ZNF423,0.0
SOX17,0.0
NFAT5,0.0
JDP2,0.0
FOXF2,0.0
ATF4,-0.0009238238426721789
GSC,0.0
NR2F2,0.0
NR3C1,0.0
SREBF1,0.0
CREB3,0.0
TCF21,0.0
IRF2,0.0
ZNF524,0.0
GLIS2,0.0
IRX5,0.09053130201408895
KLF11,0.002169076258378968
HOXA10,-0.001576178974038256
NR2E1,0.05492653710860665
DLX2,0.0
NFATC4,0.0
ZSCAN26,0.0
FOXF1,-0.00023366641314765402
ELK3,0.000742963809793898
ISL1,0.0
TFAP2B,0.0
IRX4,0.0
FOXC1,0.0
HSF2,0.0
TBX4,0.0
HOXA9,0.0
HOXB2,0.0
STAT6,0.0
PROX1,0.0
HEY1,0.0
HOXB3,0.0
HOXA7,0.0
OSR1,0.0
MAFK,-0.004957981074175905
HOXA6,0.0
DLX5,0.0
ONECUT2,0.0
HOXD9,-0.0004233859331037642
SMAD3,0.0
BHLHE40,0.0
FOXO1,0.0
ETV1,3.476431974079053e-05
PRDM1,0.0
SH2D1A,0.0
CUX2,0.03162403651250496
MGA,0.0
HOXA11,-0.0011445462828787347
FOXJ3,0.0
ZNF652,0.0
ZSCAN10,0.0
POU3F4,0.05694419808968932
EVX2,0.0
FOXD1,0.00030431142809860787
FOXK1,0.0
CUX1,0.0
GLIS1,0.0
TEAD3,0.0
TP73,0.0
NFIA,0.0
HOXC4,0.0
HOXD8,0.0
HES1,0.0
HOXB8,0.0
TCF4,0.0
TP63,0.0
NR6A1,0.0
FLI1,0.0
SHOX2,0.022379624471463497
CREB1,0.004208731842929681
MEIS1,0.0
DR1,0.0
LHX1,0.0
ZIC1,0.028323061604905136
LEF1,0.0
EHF,0.0
ZNF589,0.0
FOXI1,0.0
ATF5,0.0
POLR3A,0.0
EOMES,0.0
HOXA3,0.0
STAT3,-0.0015273682376280668
HOXC11,0.0
TBX5,0.0
OSR2,0.0
NR1H4,0.0
TTF1,0.009114025516187606
SOX21,0.0
OTX2,0.0
CEBPE,0.0
HOXA2,0.0
TEAD1,0.0
SOX11,0.0
TBX20,-0.005178977177930557
ZNF740,0.0
MYBL1,0.010037482031374865
UNCX,0.0
NFATC2,0.0
HMX1,0.0
ELF1,0.0
EBF1,0.0
MEF2A,0.0
POU4F2,0.0068672161439572756
TBX18,0.0
TCF7L2,0.0
CREB3L2,0.0
PITX1,0.0
FOXA1,0.0
IKZF1,0.0
HOXD13,0.0
RFX3,0.0
BHLHE41,0.0
POU2F2,0.0
EMX2,0.0
ETV6,-0.002525763629718893
AHR,0.0
JUN,0.0
FOXD2,0.0
DLX1,0.0
SP3,0.0
NFE2L2,0.0
NR3C2,0.0
HOXB4,0.00016184074258377814
MZF1,0.0
FOXL1,0.0
ELF2,0.0
NR4A1,0.0
HES5,0.01375562945231416
CDX2,0.0
RORA,0.0
MLXIPL,0.0
EPAS1,-0.00047387386339343843
ETV4,0.0
NFE2L1,0.0
HENMT1,0.0
SIX3,0.00873395849020804
E2F8,0.0
THRB,0.0
HOXC5,0.0
SPI1,0.0
ETS2,0.0
CEBPG,0.020845189206733027
HOXD11,0.0
POU2AF1,0.0
PKNOX2,0.0
NEUROD1,0.00566821885648453
GLI3,0.0
PAX9,0.0
HMGA2,0.0
FOXO3,0.0
PBX1,0.0
PHOX2B,0.06526983742386055
SOX18,-0.00014381270994610353
ZEB1,0.0
FOXC2,0.0
SIX1,0.0
HNF1B,0.0
HOXC13,0.0
HOXC8,0.0
HOXA13,0.0
SOX9,0.0
HLX,0.0
MEIS2,0.0
GBX2,0.0
ZBED6,0.0
FOXA2,0.0
TFCP2L1,0.0
DEAF1,0.0
HOXC10,0.0
RFX2,0.0
CENPB,0.0
SOX12,0.0
BCL6,0.0
ZNF410,0.00013734469709235155
MEOX2,0.0
CLOCK,0.00030537889789369817
POU3F3,0.0510461978772808
RUNX2,0.0
RUNX1,0.0
HMBOX1,0.0
TBR1,0.014094378625133462
MSX1,0.0
MAF,0.0
MNT,0.0
HOXB6,0.0
SMAD4,0.0
RARB,0.0
HOXC9,0.0
HBP1,0.0
SP1,0.0
NKX1-2,0.0
ZBTB33,0.0
SCRT2,0.42144392609080705
ZKSCAN3,0.014333282206527131
NFIB,0.0
NEUROD2,0.0
GTF2IRD1,0.008286617057935234
FOXO4,-0.001514009141949129
MTERF1,0.0
IKZF3,0.0
PEBP1,0.0
SOX5,0.0
FOXP1,0.0
ZFX,0.0
FOXJ2,0.0
RBPJ,0.0
MNX1,0.0
ETV5,0.0020427721436530343
NR2F1,0.0
SOX30,0.0
NR1H2,0.0
