,Alt_ID,in_degree,out_degree,out/in
NRL,NRL,11.0,1.0,0.09090909090909091
TBP,TBP,50.0,4.0,0.08
HIC2,HIC2,3.0,0.0,0.0
TNFRSF4,TNFRSF4,4.0,0.0,0.0
ZNF713,ZNF713,17.0,0.0,0.0
SATB1,SATB1,2.0,0.0,0.0
MAFB,MAFB,2.0,0.0,0.0
PITX1,PITX1,3.0,0.0,0.0
ELF2,ELF2,1.0,0.0,0.0
HLTF,HLTF,2.0,0.0,0.0
GSX2,GSX2,1.0,0.0,0.0
ZSCAN16,ZSCAN16,2.0,0.0,0.0
YY2,YY2,1.0,0.0,0.0
DLX6,DLX6,1.0,0.0,0.0
TFCP2L1,TFCP2L1,2.0,0.0,0.0
GSC,GSC,3.0,0.0,0.0
ZNF263,ZNF263,3.0,0.0,0.0
TP63,TP63,12.0,0.0,0.0
BHLHE22,BHLHE22,1.0,0.0,0.0
NKX2-3,NKX2-3,1.0,0.0,0.0
E2F6,E2F6,2.0,0.0,0.0
NFKB2,NFKB2,1.0,0.0,0.0
TBX21,TBX21,1.0,0.0,0.0
