,out_degree_aligned
ELK4,12
CREB1,12
E2F3,10
SP3,10
ELK3,10
FOXP1,10
GTF2A1,9
ETV3,8
FOXO3,8
REST,8
TFCP2,8
RFX7,7
PROX1,7
ZNF148,7
NFYA,7
NFAT5,7
MYB,7
NF1,6
NFE2L2,6
VDR,6
ATF1,6
POU2F1,6
SP1,6
IKZF2,6
GTF2I,6
ZBTB14,6
TEAD1,5
IRF6,5
HMGA2,5
RREB1,5
PARP1,5
E2F8,5
PRDM4,5
REL,5
THRB,4
CEBPZ,4
ZBTB6,4
DR1,4
RORA,4
HIF1A,4
ZNF281,4
CDC5L,4
RBPJ,4
NR2C2,4
BRCA1,4
CREB3L2,4
SMAD1,3
GABPA,3
VBP1,3
ZNF589,3
PURA,3
SOX9,3
FOXJ3,3
ETS1,3
MEF2A,3
HSF2,3
BPTF,2
ATF7,2
SOX4,2
ZBTB18,2
FOXO1,2
E2F7,2
ETS2,2
HOXB3,2
TERF1,2
TBP,2
CTCF,2
ATF2,2
YY1,2
NFIB,2
PBX1,2
MTF1,2
MECOM,2
TCF7L2,2
ZNF75A,1
GMEB1,1
ELF1,1
ZNF410,1
NR3C2,1
BBX,1
POLR3A,1
SP100,1
FOXO4,1
BDP1,1
RFX3,1
ZSCAN26,1
LHX4,1
DLX6,0
ZKSCAN3,0
HIC2,0
YY2,0
SATB1,0
ZNF713,0
ZSCAN16,0
ELF2,0
TFCP2L1,0
PPARG,0
HLTF,0
ZNF263,0
ATF4,0
TP63,0
E2F6,0
