,out_degree_aligned
NR6A1,12
LMO2,10
PRDM1,9
ETV1,9
ARID5A,9
CPEB1,8
TRAF4,8
NR1H3,8
IKZF3,6
DDIT3,6
IKZF1,6
RBPJ,5
CEBPG,5
HMGA1,5
KLF4,5
ETV4,5
HENMT1,5
CNOT3,5
TEAD4,5
SOX15,5
TTF1,5
MGA,4
HOXB2,4
GFI1,4
KLF11,4
ZNF589,4
SPI1,4
POU2AF1,4
HBP1,4
ATF5,3
POU2F2,3
TRIM28,3
PEBP1,3
BHLHE23,3
NFKB2,3
TFCP2L1,3
ZSCAN10,3
SOX17,3
CDX1,2
NFE2,2
HOXA1,2
XBP1,2
NKX1-2,2
ETV7,2
ETV5,2
E2F2,2
POLR3A,2
ATF4,2
GBX2,2
MYBL1,1
HMBOX1,1
MNX1,1
RFC5,1
YY1,1
SREBF1,1
TBX21,1
SH2D1A,1
SPZ1,1
IRX6,1
MLX,1
NR4A1,1
ZBTB3,1
ZNF263,1
PHOX2A,1
CEBPE,1
ZNF350,1
HIC2,0
ZNF628,0
BARX1,0
HMX1,0
IRX4,0
NOBOX,0
IRF7,0
NKX6-3,0
ESX1,0
DRGX,0
MTERF1,0
CUX2,0
ESRRB,0
FOXP3,0
NR1H2,0
EWSR1,0
SP4,0
SOX13,0
SOX30,0
PAX5,0
TBX22,0
CLOCK,0
HOXC13,0
