,Alt_ID,in_degree,out_degree,out/in
DR1,DR1,3.0,5.0,1.6666666666666667
SOX21,SOX21,3.0,5.0,1.6666666666666667
ZNF219,ZNF219,5.0,8.0,1.6
TRIM28,TRIM28,2.0,3.0,1.5
PBX1,PBX1,4.0,6.0,1.5
HNF1B,HNF1B,4.0,6.0,1.5
TTF1,TTF1,4.0,6.0,1.5
HOXA3,HOXA3,2.0,3.0,1.5
HOXD8,HOXD8,2.0,3.0,1.5
FOXJ3,FOXJ3,4.0,6.0,1.5
JUN,JUN,4.0,6.0,1.5
GBX2,GBX2,2.0,3.0,1.5
FOXP1,FOXP1,2.0,3.0,1.5
BRF1,BRF1,2.0,3.0,1.5
RORA,RORA,4.0,6.0,1.5
ZNF410,ZNF410,2.0,3.0,1.5
NFE2L1,NFE2L1,4.0,6.0,1.5
ATF4,ATF4,2.0,3.0,1.5
MSX1,MSX1,2.0,3.0,1.5
YY1,YY1,2.0,3.0,1.5
POU3F4,POU3F4,2.0,3.0,1.5
FOXC1,FOXC1,8.0,11.0,1.375
MYBL1,MYBL1,3.0,4.0,1.3333333333333333
HOXB8,HOXB8,3.0,4.0,1.3333333333333333
ETS2,ETS2,3.0,4.0,1.3333333333333333
FOXL1,FOXL1,3.0,4.0,1.3333333333333333
HOXC11,HOXC11,6.0,8.0,1.3333333333333333
RXRA,RXRA,3.0,4.0,1.3333333333333333
ZIC1,ZIC1,3.0,4.0,1.3333333333333333
NFKB1,NFKB1,3.0,4.0,1.3333333333333333
ZKSCAN3,ZKSCAN3,3.0,4.0,1.3333333333333333
NF1,NF1,3.0,4.0,1.3333333333333333
OTX1,OTX1,6.0,8.0,1.3333333333333333
MEF2A,MEF2A,3.0,4.0,1.3333333333333333
POU2F2,POU2F2,3.0,4.0,1.3333333333333333
HENMT1,HENMT1,4.0,5.0,1.25
RFX3,RFX3,4.0,5.0,1.25
BCL6,BCL6,4.0,5.0,1.25
SOX5,SOX5,4.0,5.0,1.25
TEAD4,TEAD4,4.0,5.0,1.25
NKX3-2,NKX3-2,4.0,5.0,1.25
SOX15,SOX15,4.0,5.0,1.25
CUX1,CUX1,4.0,5.0,1.25
STAT3,STAT3,8.0,10.0,1.25
FOXO1,FOXO1,5.0,6.0,1.2
EMX2,EMX2,6.0,7.0,1.1666666666666667
NFIX,NFIX,3.0,3.0,1.0
MLXIPL,MLXIPL,2.0,2.0,1.0
SOX7,SOX7,1.0,1.0,1.0
E2F2,E2F2,2.0,2.0,1.0
MLX,MLX,2.0,2.0,1.0
CREB3L2,CREB3L2,3.0,3.0,1.0
CDX2,CDX2,2.0,2.0,1.0
HOXD10,HOXD10,3.0,3.0,1.0
HES5,HES5,2.0,2.0,1.0
PROX1,PROX1,4.0,4.0,1.0
BARX1,BARX1,2.0,2.0,1.0
ETV5,ETV5,3.0,3.0,1.0
ATF2,ATF2,3.0,3.0,1.0
HIC1,HIC1,3.0,3.0,1.0
TP63,TP63,4.0,4.0,1.0
HOXD11,HOXD11,5.0,5.0,1.0
NFIA,NFIA,3.0,3.0,1.0
NR2E1,NR2E1,10.0,10.0,1.0
ZBTB33,ZBTB33,2.0,2.0,1.0
ZNF148,ZNF148,3.0,3.0,1.0
ERG,ERG,2.0,2.0,1.0
ZSCAN10,ZSCAN10,3.0,3.0,1.0
ZSCAN26,ZSCAN26,3.0,3.0,1.0
SOX12,SOX12,4.0,4.0,1.0
GC,GC,3.0,3.0,1.0
HOXA1,HOXA1,3.0,3.0,1.0
TCF4,TCF4,2.0,2.0,1.0
CDX1,CDX1,3.0,3.0,1.0
TBX15,TBX15,4.0,4.0,1.0
CTF1,CTF1,2.0,2.0,1.0
NFE2,NFE2,2.0,2.0,1.0
ELF5,ELF5,3.0,3.0,1.0
OSR2,OSR2,8.0,7.0,0.875
ZNF524,ZNF524,6.0,5.0,0.8333333333333334
RFX4,RFX4,6.0,5.0,0.8333333333333334
SIX3,SIX3,11.0,9.0,0.8181818181818182
BHLHE23,BHLHE23,5.0,4.0,0.8
ZNF423,ZNF423,5.0,4.0,0.8
SMAD3,SMAD3,5.0,4.0,0.8
HLX,HLX,5.0,4.0,0.8
MNX1,MNX1,4.0,3.0,0.75
MEIS3,MEIS3,4.0,3.0,0.75
KLF4,KLF4,8.0,6.0,0.75
SMAD4,SMAD4,4.0,3.0,0.75
NFKB2,NFKB2,4.0,3.0,0.75
BACH2,BACH2,4.0,3.0,0.75
TEAD3,TEAD3,4.0,3.0,0.75
BHLHE40,BHLHE40,7.0,5.0,0.7142857142857143
XBP1,XBP1,3.0,2.0,0.6666666666666666
NEUROD1,NEUROD1,6.0,4.0,0.6666666666666666
FOXD2,FOXD2,3.0,2.0,0.6666666666666666
HOXB13,HOXB13,3.0,2.0,0.6666666666666666
FOXK1,FOXK1,3.0,2.0,0.6666666666666666
CEBPE,CEBPE,3.0,2.0,0.6666666666666666
NR1I2,NR1I2,9.0,6.0,0.6666666666666666
PHOX2A,PHOX2A,3.0,2.0,0.6666666666666666
ZNF740,ZNF740,3.0,2.0,0.6666666666666666
HOXC10,HOXC10,3.0,2.0,0.6666666666666666
ZNF652,ZNF652,3.0,2.0,0.6666666666666666
HMBOX1,HMBOX1,3.0,2.0,0.6666666666666666
SOX8,SOX8,3.0,2.0,0.6666666666666666
ZSCAN16,ZSCAN16,3.0,2.0,0.6666666666666666
THRA,THRA,6.0,4.0,0.6666666666666666
MAF,MAF,3.0,2.0,0.6666666666666666
CENPB,CENPB,5.0,3.0,0.6
ELF3,ELF3,5.0,3.0,0.6
THRB,THRB,5.0,3.0,0.6
ISX,ISX,7.0,4.0,0.5714285714285714
EHF,EHF,15.0,8.0,0.5333333333333333
RARG,RARG,4.0,2.0,0.5
LHX5,LHX5,6.0,3.0,0.5
SREBF1,SREBF1,2.0,1.0,0.5
CREB3,CREB3,2.0,1.0,0.5
FOXO4,FOXO4,2.0,1.0,0.5
HOXA7,HOXA7,4.0,2.0,0.5
GATA3,GATA3,4.0,2.0,0.5
ELF2,ELF2,4.0,2.0,0.5
MEOX1,MEOX1,2.0,1.0,0.5
PDX1,PDX1,4.0,2.0,0.5
RFC5,RFC5,4.0,2.0,0.5
LHX4,LHX4,2.0,1.0,0.5
LBX2,LBX2,4.0,2.0,0.5
SPZ1,SPZ1,2.0,1.0,0.5
ZNF628,ZNF628,2.0,1.0,0.5
NFE2L2,NFE2L2,4.0,2.0,0.5
PKNOX2,PKNOX2,4.0,2.0,0.5
TFE3,TFE3,4.0,2.0,0.5
IRX6,IRX6,2.0,1.0,0.5
EOMES,EOMES,6.0,3.0,0.5
ZNF350,ZNF350,2.0,1.0,0.5
POLR3A,POLR3A,4.0,2.0,0.5
FOXI1,FOXI1,14.0,6.0,0.42857142857142855
DMRTA2,DMRTA2,5.0,2.0,0.4
GLIS2,GLIS2,5.0,2.0,0.4
OLIG1,OLIG1,8.0,3.0,0.375
ZNF263,ZNF263,3.0,1.0,0.3333333333333333
EVX2,EVX2,15.0,5.0,0.3333333333333333
TAL1,TAL1,3.0,1.0,0.3333333333333333
SP4,SP4,3.0,1.0,0.3333333333333333
TFCP2L1,TFCP2L1,9.0,3.0,0.3333333333333333
IRX3,IRX3,3.0,1.0,0.3333333333333333
SOX13,SOX13,3.0,1.0,0.3333333333333333
TBX21,TBX21,3.0,1.0,0.3333333333333333
NR1H2,NR1H2,3.0,1.0,0.3333333333333333
FOXJ2,FOXJ2,3.0,1.0,0.3333333333333333
BCL6B,BCL6B,3.0,1.0,0.3333333333333333
LEF1,LEF1,3.0,1.0,0.3333333333333333
HOXB6,HOXB6,3.0,1.0,0.3333333333333333
DRGX,DRGX,3.0,1.0,0.3333333333333333
GLI2,GLI2,3.0,1.0,0.3333333333333333
BARHL1,BARHL1,7.0,2.0,0.2857142857142857
FOXD1,FOXD1,34.0,9.0,0.2647058823529412
BHLHE41,BHLHE41,4.0,1.0,0.25
TFAP2B,TFAP2B,4.0,1.0,0.25
TBX18,TBX18,4.0,1.0,0.25
POU4F3,POU4F3,4.0,1.0,0.25
NKX2-1,NKX2-1,8.0,2.0,0.25
SP1,SP1,4.0,1.0,0.25
FOXA2,FOXA2,4.0,1.0,0.25
SATB1,SATB1,4.0,1.0,0.25
ELF1,ELF1,4.0,1.0,0.25
PITX2,PITX2,8.0,2.0,0.25
BARX2,BARX2,4.0,1.0,0.25
ZBTB3,ZBTB3,4.0,1.0,0.25
RFX2,RFX2,17.0,4.0,0.23529411764705882
ONECUT1,ONECUT1,9.0,2.0,0.2222222222222222
POU3F3,POU3F3,40.0,8.0,0.2
HOXD13,HOXD13,5.0,1.0,0.2
E2F8,E2F8,10.0,2.0,0.2
NR4A1,NR4A1,11.0,2.0,0.18181818181818182
SPDEF,SPDEF,6.0,1.0,0.16666666666666666
VBP1,VBP1,7.0,1.0,0.14285714285714285
BORCS8-MEF2B,BORCS8-MEF2B,7.0,1.0,0.14285714285714285
PRDM4,PRDM4,22.0,3.0,0.13636363636363635
DBX1,DBX1,8.0,1.0,0.125
NR1H4,NR1H4,28.0,3.0,0.10714285714285714
NR3C2,NR3C2,10.0,1.0,0.1
NKX6-1,NKX6-1,42.0,4.0,0.09523809523809523
POU4F2,POU4F2,19.0,1.0,0.05263157894736842
POU3F2,POU3F2,40.0,2.0,0.05
POU4F1,POU4F1,46.0,2.0,0.043478260869565216
LMX1A,LMX1A,48.0,1.0,0.020833333333333332
HDX,HDX,1.0,0.0,0.0
HMX1,HMX1,4.0,0.0,0.0
PAX1,PAX1,11.0,0.0,0.0
EWSR1,EWSR1,5.0,0.0,0.0
RUNX2,RUNX2,3.0,0.0,0.0
IRF7,IRF7,2.0,0.0,0.0
PITX1,PITX1,3.0,0.0,0.0
HOXC13,HOXC13,5.0,0.0,0.0
FOXP3,FOXP3,2.0,0.0,0.0
TCF7L1,TCF7L1,2.0,0.0,0.0
SOX30,SOX30,6.0,0.0,0.0
HSF2,HSF2,3.0,0.0,0.0
AR,AR,3.0,0.0,0.0
TBX22,TBX22,3.0,0.0,0.0
PAX7,PAX7,10.0,0.0,0.0
SOX1,SOX1,3.0,0.0,0.0
ESX1,ESX1,3.0,0.0,0.0
