,Alt_ID,in_degree,out_degree,out/in
NFE2,NFE2,2.0,2.0,1.0
ARID5A,ARID5A,6.0,6.0,1.0
HOXB9,HOXB9,1.0,1.0,1.0
STAT6,STAT6,2.0,2.0,1.0
ESR2,ESR2,2.0,2.0,1.0
HIC1,HIC1,6.0,5.0,0.8333333333333334
SMAD1,SMAD1,4.0,3.0,0.75
PAX3,PAX3,3.0,2.0,0.6666666666666666
MAFB,MAFB,3.0,2.0,0.6666666666666666
SPDEF,SPDEF,3.0,2.0,0.6666666666666666
MLXIPL,MLXIPL,2.0,1.0,0.5
IRX3,IRX3,2.0,1.0,0.5
TEF,TEF,2.0,1.0,0.5
ARX,ARX,2.0,1.0,0.5
EGR4,EGR4,2.0,1.0,0.5
IRF3,IRF3,2.0,1.0,0.5
FOXA2,FOXA2,2.0,1.0,0.5
CTF1,CTF1,2.0,1.0,0.5
SOX30,SOX30,2.0,1.0,0.5
ID4,ID4,2.0,1.0,0.5
SP3,SP3,2.0,1.0,0.5
ZBTB3,ZBTB3,2.0,1.0,0.5
CEBPG,CEBPG,2.0,1.0,0.5
EVX1,EVX1,2.0,1.0,0.5
NKX6-1,NKX6-1,2.0,1.0,0.5
FOXD2,FOXD2,2.0,1.0,0.5
PITX2,PITX2,2.0,1.0,0.5
TBX18,TBX18,2.0,1.0,0.5
GLIS2,GLIS2,6.0,3.0,0.5
REL,REL,16.0,7.0,0.4375
GTF2A1,GTF2A1,14.0,6.0,0.42857142857142855
FOXJ2,FOXJ2,5.0,2.0,0.4
NR2F6,NR2F6,5.0,2.0,0.4
ZNF410,ZNF410,5.0,2.0,0.4
PPARA,PPARA,5.0,2.0,0.4
EN1,EN1,3.0,1.0,0.3333333333333333
DLX3,DLX3,3.0,1.0,0.3333333333333333
SPI1,SPI1,3.0,1.0,0.3333333333333333
FOXG1,FOXG1,3.0,1.0,0.3333333333333333
HLF,HLF,3.0,1.0,0.3333333333333333
THRA,THRA,3.0,1.0,0.3333333333333333
EHF,EHF,7.0,2.0,0.2857142857142857
NKX1-2,NKX1-2,4.0,1.0,0.25
DMRT2,DMRT2,8.0,2.0,0.25
EOMES,EOMES,8.0,2.0,0.25
ESR1,ESR1,8.0,2.0,0.25
POU6F1,POU6F1,4.0,1.0,0.25
GLI1,GLI1,10.0,2.0,0.2
ASCL2,ASCL2,5.0,1.0,0.2
GSC,GSC,10.0,2.0,0.2
GBX2,GBX2,5.0,1.0,0.2
PGR,PGR,6.0,1.0,0.16666666666666666
FOXP3,FOXP3,6.0,1.0,0.16666666666666666
NR6A1,NR6A1,28.0,3.0,0.10714285714285714
TBX20,TBX20,12.0,1.0,0.08333333333333333
KLF14,KLF14,16.0,1.0,0.0625
IRF5,IRF5,35.0,2.0,0.05714285714285714
MEOX1,MEOX1,20.0,1.0,0.05
DRGX,DRGX,24.0,1.0,0.041666666666666664
GC,GC,42.0,1.0,0.023809523809523808
LHX1,LHX1,4.0,0.0,0.0
MEIS3,MEIS3,24.0,0.0,0.0
EN2,EN2,4.0,0.0,0.0
GRHL1,GRHL1,5.0,0.0,0.0
TBX15,TBX15,1.0,0.0,0.0
BARX2,BARX2,2.0,0.0,0.0
ONECUT3,ONECUT3,2.0,0.0,0.0
