,out_degree_aligned
NR2F2,13
HBP1,12
E2F8,12
KLF12,11
ZEB1,10
PBX1,10
TBX5,10
ARID5B,10
MEF2D,9
RARB,9
NFE2L1,9
ZBTB18,9
BACH1,9
ZBTB4,9
FOXJ3,9
MNT,9
PRRX1,9
STAT1,9
JUN,9
FOXO3,9
NFIA,9
GTF2I,9
NFE2L2,8
SNAI2,8
GLIS3,8
ZBED6,8
RARA,8
CLOCK,8
ETV3,8
CREB3L1,8
IRF2,8
RFX3,7
GFI1,7
SHOX2,7
CREB1,7
IRF4,7
ZFX,7
ATF1,7
NF1,7
MAF,7
ARNT,7
ERF,6
NR4A2,6
ZNF143,6
TBP,6
EP300,6
ELF1,6
E2F3,6
HIF1A,6
POU2F1,6
TCF7L2,6
SF1,6
ZBTB14,6
CDC5L,6
SMAD3,6
GLI3,6
ZNF281,6
GATA3,6
BDP1,6
SP3,6
RORA,6
HIVEP2,6
IKZF1,6
ETV1,6
ZSCAN26,5
RUNX3,5
FOXO1,5
CREB3L2,5
ATF2,5
ATF7,5
KLF13,5
GTF2A1,5
ZBTB7B,5
BRCA1,5
SP1,5
NFAT5,5
EOMES,5
HOXB3,5
IRX5,5
ZKSCAN3,5
RFX7,5
SOX13,5
MZF1,5
STAT3,5
ETS2,5
ELK3,5
FOXO4,5
SIX1,5
FOXC1,5
SOX2,5
NR2C2,5
GMEB2,4
TCF7,4
TBX2,4
KLF4,4
ZNF8,4
MTF1,4
BBX,4
ARID3A,4
RFX1,4
FLI1,4
EPAS1,4
MEIS2,4
ZNF423,4
NR3C1,4
ZNF384,4
PRDM4,4
PATZ1,4
TTF1,4
PROX1,4
BPTF,4
ELF2,4
SP4,4
ATF3,4
LHX2,3
FOXF2,3
CTCF,3
ZBTB6,3
SOX5,3
CUX1,3
IRX2,3
ERG,3
ZNF148,3
TCF7L1,3
AHR,3
NFIB,3
HOXA6,3
PURA,3
REST,3
IRF9,3
ZNF217,3
KLF11,3
ARID5A,3
GLIS2,3
TCF4,3
DLX5,3
VDR,3
RUNX2,3
GLI2,3
SP100,3
HMBOX1,3
EGR2,3
TNFRSF10A,3
HOXC8,3
EGR3,3
MECP2,3
MSC,2
PLAGL1,2
STAT5B,2
MAFK,2
CNOT3,2
MECOM,2
CEBPG,2
GMEB1,2
GATA6,2
RREB1,2
FOXD2,2
MGA,2
MAFF,2
HOXC10,2
IKZF3,2
TERF1,2
POLR3A,2
ALX3,2
SMAD4,2
PKNOX2,2
TBX19,2
LEF1,2
ESR1,2
TEAD3,2
FOXP3,2
NFATC2,2
TBX21,2
ZBTB16,1
REL,1
E2F6,1
INSM1,1
SIX4,1
DR1,1
NR1H4,1
SIX2,1
HLTF,1
HOXB9,1
SH2D1A,1
BHLHE22,1
ZBTB3,1
SOX30,1
GABPA,1
YY1,1
FOXB1,1
TLX2,1
TAL1,1
ZNF75A,1
LHX4,1
THRA,1
TBX15,1
MEOX1,1
RFX2,1
MAFB,1
CREB5,1
HOXD10,1
BCL6B,1
SOX15,0
ZNF713,0
GSC2,0
TP63,0
TGIF1,0
ELK1,0
PLAG1,0
HDX,0
ZBTB7A,0
POU4F1,0
GRHL1,0
TNFRSF25,0
HIC2,0
MYCN,0
TFAP4,0
ZNF282,0
BHLHA15,0
ZBTB33,0
MAFG,0
DMRT3,0
SATB1,0
MSX2,0
