,out_degree_aligned
TEAD1,17
MEF2A,13
MEF2D,11
PBX1,11
MEIS2,11
GTF2I,9
CREB1,9
ZNF143,9
SP3,9
E2F3,8
ARID5B,8
ATF2,8
TEAD3,7
FOXJ3,7
NR2C2,7
ZNF281,7
STAT5B,7
CTCF,7
ZBED6,7
SMAD4,7
RFX3,7
SOX4,7
E2F7,6
BBX,6
IRF6,6
E2F8,6
BDP1,6
POU2F1,6
SOX12,6
MGA,6
ZFX,5
BRCA1,5
ATF7,5
DLX1,5
MEIS1,5
ZBTB18,5
PARP1,5
E2F1,5
E2F2,5
EP300,5
ZBTB7B,5
SF1,5
NKX2-5,4
HOXA10,4
SREBF2,4
ZNF148,4
GTF2IRD1,4
NFAT5,4
ZKSCAN3,4
PAX6,4
NFYA,4
TCF7L2,4
RFX7,4
REST,4
TP73,4
HOXA13,3
TRAF4,3
TBX18,3
THRA,3
ELF2,3
POLR3A,3
HOXB13,3
MAZ,3
ZNF75A,3
HOXA6,3
LHX2,3
ZNF384,3
ZBTB14,3
ZNF219,3
ZNF691,3
DLX6,3
BPTF,3
RFX2,2
SOX15,2
ARNT,2
HSF2,2
SRF,2
STAT3,2
NR3C2,2
MECP2,2
GLI1,2
SP1,2
KLF11,2
HLTF,2
EPAS1,2
SP4,2
ATF1,2
ZBTB4,2
FOXM1,2
ZBTB16,2
ESR1,1
SOX5,1
TEF,1
HDX,1
HLF,1
NR6A1,1
TCF7,1
TBP,1
RFX5,1
HSF4,1
FOXJ2,1
NR2F1,1
SOX30,1
PITX1,1
PATZ1,1
EMX2,1
PGR,1
THRB,1
ZSCAN26,1
ZSCAN16,0
YY2,0
ZNF35,0
E2F6,0
AR,0
ZBTB6,0
MESP1,0
NFIX,0
ZNF713,0
RELA,0
ONECUT2,0
HMX3,0
