,Coefficient
ETS1,-0.008328316543871197
PHOX2B,-0.002592955340928087
NFE2L2,-0.004651211785675122
E2F3,-0.014038200489810682
HEY2,0.03382966155766705
ATF1,-0.0027947135550900767
MECOM,0.0005817253809233085
ZKSCAN3,0.00025001601009209967
ZNF628,0.37075884975540957
TEAD1,-0.06687400564609118
MEIS1,-0.057635442619878165
