,Alt_ID,in_degree,out_degree,out/in
TERF1,TERF1,4.0,5.0,1.25
HOXA11,HOXA11,4.0,5.0,1.25
ARID3A,ARID3A,5.0,6.0,1.2
MECOM,MECOM,5.0,6.0,1.2
TFAP2A,TFAP2A,10.0,12.0,1.2
TBX20,TBX20,5.0,6.0,1.2
NFYA,NFYA,5.0,6.0,1.2
SMAD3,SMAD3,5.0,6.0,1.2
E2F7,E2F7,5.0,6.0,1.2
RARB,RARB,6.0,7.0,1.1666666666666667
FOXF2,FOXF2,11.0,12.0,1.0909090909090908
PLAG1,PLAG1,2.0,2.0,1.0
PKNOX1,PKNOX1,3.0,3.0,1.0
BACH2,BACH2,3.0,3.0,1.0
NR4A2,NR4A2,2.0,2.0,1.0
SIX4,SIX4,3.0,3.0,1.0
MEF2A,MEF2A,4.0,4.0,1.0
FOXJ2,FOXJ2,3.0,3.0,1.0
TFAP2C,TFAP2C,4.0,4.0,1.0
ZNF217,ZNF217,7.0,7.0,1.0
SP100,SP100,3.0,3.0,1.0
MECP2,MECP2,3.0,3.0,1.0
BACH1,BACH1,3.0,3.0,1.0
POU2F1,POU2F1,4.0,4.0,1.0
IRF2,IRF2,4.0,4.0,1.0
HOXA1,HOXA1,5.0,5.0,1.0
STAT6,STAT6,8.0,8.0,1.0
TBX19,TBX19,2.0,2.0,1.0
STAT3,STAT3,4.0,4.0,1.0
MEIS2,MEIS2,13.0,13.0,1.0
RARG,RARG,5.0,5.0,1.0
SMAD4,SMAD4,4.0,4.0,1.0
TCF3,TCF3,7.0,7.0,1.0
RREB1,RREB1,5.0,5.0,1.0
RORA,RORA,4.0,4.0,1.0
CTCF,CTCF,3.0,3.0,1.0
ELF3,ELF3,5.0,5.0,1.0
CEBPB,CEBPB,9.0,8.0,0.8888888888888888
FOS,FOS,8.0,7.0,0.875
IRF6,IRF6,6.0,5.0,0.8333333333333334
EHF,EHF,6.0,5.0,0.8333333333333334
MESP1,MESP1,5.0,4.0,0.8
GATA3,GATA3,10.0,8.0,0.8
CENPB,CENPB,5.0,4.0,0.8
