,out_degree_aligned
PRRX1,12
TCF7L2,11
TEAD1,10
OTX1,10
NF1,9
BHLHE40,9
BCL6,9
HOXB5,8
SOX4,8
RUNX1,8
NFATC4,7
NFAT5,7
ETV3,7
ELK3,7
KLF7,7
SMAD3,7
SNAI2,7
GTF2A1,6
SP3,6
REST,6
ELK4,6
IRF2,6
TCF4,6
HOXA3,6
TFAP2A,6
PITX1,6
HOXB6,6
PRDM1,6
RARG,5
BACH1,5
ELF4,5
ETS2,5
RUNX2,5
PURA,5
NR2C2,5
NR2F1,5
VDR,5
NFE2L2,5
CUX1,5
SIX1,5
FOXL1,4
DR1,4
ZBTB6,4
HOXC4,4
NR3C1,4
STAT6,4
ATF1,4
ETV1,4
HOXB7,4
E2F3,4
SMAD1,4
E2F8,4
MSX2,4
HOXA13,4
IKZF2,4
RARB,3
ATF2,3
ZNF410,3
ZBTB4,3
NFE2L1,3
E2F7,3
ELF1,3
EP300,3
MEF2A,3
HMGA2,3
HOXA4,3
OSR2,3
IRF9,3
FOXC1,3
BHLHE41,3
HBP1,3
ETV6,3
HIF1A,3
RFX7,3
RELA,3
GABPA,2
BBX,2
MECOM,2
REL,2
NKX3-2,2
TBX15,2
SP1,2
SIX4,2
SOX11,2
ZBTB33,2
PPARG,2
FOXC2,2
EPAS1,2
CDC5L,2
IRF1,2
TTF1,1
DMBX1,1
SOX13,1
NKX3-1,1
CEBPZ,1
MAF,1
TEAD3,1
SPDEF,1
CTCF,1
ETS1,1
FOXD1,1
NFE2,1
MSC,1
PRDM4,1
KLF13,1
PPARA,1
FOXD2,1
GRHL1,1
TFCP2L1,0
TCF7L1,0
POU2F1,0
ZNF35,0
TFAP2C,0
